date,state,location,fuel_type,price_cpl
2026-04-23,QLD,Brisbane,p98,202.9
2026-04-23,QLD,Brisbane,ulp91,176.3
2026-04-23,WA,Perth,diesel,219.2
2026-04-23,WA,Perth,p95,184.4
2026-04-23,WA,Perth,p98,194.5
2026-04-23,WA,Perth,ulp91,173.4
2026-04-24,QLD,Brisbane,diesel,210.2
2026-04-24,QLD,Brisbane,e10,177.8
2026-04-24,QLD,Brisbane,p95,189.5
2026-04-24,QLD,Brisbane,p98,202.8
2026-04-24,QLD,Brisbane,ulp91,176.4
2026-04-24,VIC,Melbourne,diesel,214.7
2026-04-24,VIC,Melbourne,e10,180.2
2026-04-24,VIC,Melbourne,p95,188.3
2026-04-24,VIC,Melbourne,p98,206.7
2026-04-24,VIC,Melbourne,ulp91,178.0
2026-04-24,WA,Perth,diesel,219.1
2026-04-24,WA,Perth,p95,185.0
2026-04-24,WA,Perth,p98,195.1
2026-04-24,WA,Perth,ulp91,174.0
2026-04-27,QLD,Brisbane,diesel,207.9
2026-04-27,QLD,Brisbane,e10,181.5
2026-04-27,QLD,Brisbane,p95,190.3
2026-04-27,QLD,Brisbane,p98,203.7
2026-04-27,QLD,Brisbane,ulp91,177.1
2026-04-27,WA,Perth,diesel,217.6
2026-04-27,WA,Perth,p95,184.8
2026-04-27,WA,Perth,p98,194.8
2026-04-27,WA,Perth,ulp91,173.7
2026-04-28,QLD,Brisbane,diesel,208.3
2026-04-28,QLD,Brisbane,e10,179.6
2026-04-28,QLD,Brisbane,p95,192.0
2026-04-28,QLD,Brisbane,p98,205.4
2026-04-28,QLD,Brisbane,ulp91,178.2
2026-04-28,WA,Perth,diesel,219.0
2026-04-28,WA,Perth,p95,184.2
2026-04-28,WA,Perth,p98,194.2
2026-04-28,WA,Perth,ulp91,173.1
2026-04-29,QLD,Brisbane,diesel,210.3
2026-04-29,QLD,Brisbane,e10,180.2
2026-04-29,QLD,Brisbane,p95,192.4
2026-04-29,QLD,Brisbane,p98,205.8
2026-04-29,QLD,Brisbane,ulp91,178.8
2026-04-29,WA,Perth,diesel,218.4
2026-04-29,WA,Perth,p95,183.4
2026-04-29,WA,Perth,p98,193.4
2026-04-29,WA,Perth,ulp91,172.3
2026-05-01,QLD,Brisbane,diesel,213.3
2026-05-01,QLD,Brisbane,e10,176.0
2026-05-01,QLD,Brisbane,p95,185.2
2026-05-01,QLD,Brisbane,p98,202.0
2026-05-01,QLD,Brisbane,ulp91,174.6
2026-05-01,WA,Perth,diesel,220.0
2026-05-01,WA,Perth,p95,186.0
2026-05-01,WA,Perth,p98,196.0
2026-05-01,WA,Perth,ulp91,174.9
2026-05-02,VIC,Melbourne,diesel,217.5
2026-05-02,VIC,Melbourne,p98,210.3
2026-05-02,VIC,Melbourne,ulp91,181.6
2026-05-04,QLD,Brisbane,diesel,215.5
2026-05-04,QLD,Brisbane,e10,176.6
2026-05-04,QLD,Brisbane,p95,189.9
2026-05-04,QLD,Brisbane,p98,204.3
2026-05-04,QLD,Brisbane,ulp91,175.2
2026-05-04,WA,Perth,p95,185.0
2026-05-04,WA,Perth,p98,195.0
2026-05-04,WA,Perth,ulp91,174.0
2026-05-05,QLD,Brisbane,diesel,214.3
2026-05-05,QLD,Brisbane,e10,179.4
2026-05-05,QLD,Brisbane,p95,190.2
2026-05-05,QLD,Brisbane,p98,204.6
2026-05-05,QLD,Brisbane,ulp91,177.8
2026-05-05,VIC,Melbourne,diesel,219.0
2026-05-05,VIC,Melbourne,e10,181.8
2026-05-05,VIC,Melbourne,p98,207.2
2026-05-05,VIC,Melbourne,ulp91,181.2
2026-05-05,WA,Perth,diesel,213.3
2026-05-05,WA,Perth,p95,184.8
2026-05-05,WA,Perth,p98,194.9
2026-05-05,WA,Perth,ulp91,173.8
2026-05-07,QLD,Brisbane,diesel,210.1
2026-05-07,QLD,Brisbane,e10,181.0
2026-05-07,QLD,Brisbane,p95,190.8
2026-05-07,QLD,Brisbane,p98,205.2
2026-05-07,QLD,Brisbane,ulp91,180.1
2026-05-07,WA,Perth,diesel,206.2
2026-05-07,WA,Perth,p95,186.1
2026-05-07,WA,Perth,p98,196.1
2026-05-07,WA,Perth,ulp91,175.0
2026-05-09,QLD,Brisbane,diesel,206.4
2026-05-09,QLD,Brisbane,e10,178.9
2026-05-09,QLD,Brisbane,p95,189.6
2026-05-09,QLD,Brisbane,p98,204.1
2026-05-09,QLD,Brisbane,ulp91,177.5
2026-05-09,WA,Perth,diesel,196.3
2026-05-09,WA,Perth,p95,183.1
2026-05-09,WA,Perth,p98,193.1
2026-05-09,WA,Perth,ulp91,172.0
2026-05-11,QLD,Brisbane,diesel,204.2
2026-05-11,QLD,Brisbane,e10,178.2
2026-05-11,QLD,Brisbane,p95,188.4
2026-05-11,QLD,Brisbane,p98,202.8
2026-05-11,QLD,Brisbane,ulp91,176.8
2026-05-11,VIC,Melbourne,diesel,206.7
2026-05-11,VIC,Melbourne,p98,199.1
2026-05-11,VIC,Melbourne,ulp91,173.4
2026-05-11,WA,Perth,diesel,195.4
2026-05-11,WA,Perth,p95,181.3
2026-05-11,WA,Perth,p98,191.4
2026-05-11,WA,Perth,ulp91,170.3
2026-05-12,QLD,Brisbane,diesel,201.8
2026-05-12,QLD,Brisbane,e10,177.5
2026-05-12,QLD,Brisbane,p95,187.4
2026-05-12,QLD,Brisbane,p98,201.8
2026-05-12,QLD,Brisbane,ulp91,176.1
2026-05-12,WA,Perth,diesel,194.2
2026-05-12,WA,Perth,p95,180.6
2026-05-12,WA,Perth,p98,190.6
2026-05-12,WA,Perth,ulp91,169.5
2026-05-13,QLD,Brisbane,diesel,199.1
2026-05-13,QLD,Brisbane,e10,177.0
2026-05-13,QLD,Brisbane,p95,186.7
2026-05-13,QLD,Brisbane,p98,201.1
